report_date,year_num,month_num,day_num,day_of_week,quarter_num,is_weekend,is_month_start,is_month_end,revenue_target,log_revenue,revenue_lag_1d,revenue_lag_7d,revenue_lag_365d,revenue_rolling_7d_mean,revenue_rolling_30d_mean,summary_metric_col17,is_missing_date
2020-01-01,2020,1,1,2,1,0,1,0,0,0,0,0,0,0,0,70,false
2020-01-02,2020,1,2,3,1,0,0,0,96,4.574710978503383,0,0,0,48,48,1290,false
2020-01-03,2020,1,3,4,1,0,0,0,1417,7.257002707092073,96,0,0,504.33,504.33,6279,false
2020-01-04,2020,1,4,5,1,1,0,0,692,6.541029999189903,1417,0,0,551.25,551.25,4588,false
2020-01-05,2020,1,5,6,1,1,0,0,475,6.1654178542314195,692,0,0,536,536,3229,false
2020-01-06,2020,1,6,0,1,0,0,0,665,6.501289670540389,475,0,0,557.5,557.5,2864,false
2020-01-07,2020,1,7,1,1,0,0,0,689,6.536691597591305,665,0,0,576.29,576.29,4326,false
2020-01-08,2020,1,8,2,1,0,0,0,357,5.8805329864007,689,0,0,627.29,548.88,3073,false
2020-01-09,2020,1,9,3,1,0,0,0,251,5.529429087511423,357,96,0,649.43,515.78,13872,false
2020-01-10,2020,1,10,4,1,0,0,0,403,6.00141487796115,251,1417,0,504.57,504.5,8514,false
2020-01-11,2020,1,11,5,1,1,0,0,314,5.752572638825633,403,692,0,450.57,487.18,1503,false
2020-01-12,2020,1,12,6,1,1,0,0,354,5.872117789475416,314,475,0,433.29,476.08,2090,false
2020-01-13,2020,1,13,0,1,0,0,0,368,5.910796644040527,354,665,0,390.86,467.77,3732,false
2020-01-14,2020,1,14,1,1,0,0,0,377,5.934894195619588,368,689,0,346.29,461.29,3262,false
2020-01-15,2020,1,15,2,1,0,0,0,386,5.958424693029782,377,357,0,350.43,456.27,2608,false
2020-01-16,2020,1,16,3,1,0,0,0,307,5.730099782973574,386,251,0,358.43,446.94,10535,false
2020-01-17,2020,1,17,4,1,0,0,0,2205,7.698936199813447,307,403,0,615.86,550.35,6895,false
2020-01-18,2020,1,18,5,1,1,0,0,614,6.421622267806518,2205,314,0,658.71,553.89,4451,false
2020-01-19,2020,1,19,6,1,1,0,0,4762,8.46863300080086,614,354,0,1288.43,775.37,7378,false
2020-01-20,2020,1,20,0,1,0,0,0,272,5.60947179518496,4762,368,0,1274.71,750.2,5327,false
2020-01-21,2020,1,21,1,1,0,0,0,1444,7.275864600546532,272,377,0,1427.14,783.24,4421,false
2020-01-22,2020,1,22,2,1,0,0,0,2619,7.8709295967551425,1444,386,0,1746.14,866.68,7062,false
2020-01-23,2020,1,23,3,1,0,0,0,1070,6.976348070447749,2619,307,0,1855.14,875.52,6346,false
2020-01-24,2020,1,24,4,1,0,0,0,447,6.104793232414985,1070,2205,0,1604,857.67,4139,false
2020-01-25,2020,1,25,5,1,1,0,0,1016,6.92461239604856,447,614,0,1661.43,864,5489,false
2020-01-26,2020,1,26,6,1,1,0,0,880,6.781057625936179,1016,4762,0,1106.86,864.62,3333,false
2020-01-27,2020,1,27,0,1,0,0,0,703,6.556778356158042,880,272,0,1168.43,858.63,7291,false
2020-01-28,2020,1,28,1,1,0,0,0,21497,9.975715186533009,703,1444,0,4033.14,1595.71,55815,false
2020-01-29,2020,1,29,2,1,0,0,0,517,6.249975242259483,21497,2619,0,3732.86,1558.52,3248,false
2020-01-30,2020,1,30,3,1,0,0,0,1177,7.071573364211532,517,1070,0,3748.14,1545.8,5095,false
2020-01-31,2020,1,31,4,1,0,0,1,636,6.456769655572163,1177,447,0,3775.14,1567,6400,false
2020-02-01,2020,2,1,5,1,1,1,0,0,0,636,1016,0,3630,1563.8,2452,false
2020-02-02,2020,2,2,6,1,1,0,0,378,5.937536205082426,0,880,0,3558.29,1529.17,2264,false
2020-02-03,2020,2,3,0,1,0,0,0,162,5.093750200806762,378,703,0,3481,1511.5,3179,false
2020-02-04,2020,2,4,1,1,0,0,0,432,6.07073772800249,162,21497,0,471.71,1510.07,2932,false
2020-02-05,2020,2,5,2,1,0,0,0,0,0,432,517,0,397.86,1487.9,3176,false
2020-02-06,2020,2,6,3,1,0,0,0,0,0,0,1177,0,229.71,1464.93,2525,false
2020-02-07,2020,2,7,4,1,0,0,0,50,3.9318256327243257,0,636,0,146,1454.7,11667,false
2020-02-08,2020,2,8,5,1,1,0,0,62,4.143134726391533,50,0,0,154.86,1448.4,2578,false
2020-02-09,2020,2,9,6,1,1,0,0,90,4.51085950651685,62,378,0,113.71,1437.97,2876,false
2020-02-10,2020,2,10,0,1,0,0,0,0,0,90,162,0,90.57,1427.5,2723,false
2020-02-11,2020,2,11,1,1,0,0,0,995,6.903747257584598,0,432,0,171,1448.87,2733,false
2020-02-12,2020,2,12,2,1,0,0,0,92,4.532599493153255,995,0,0,184.14,1439.67,2819,false
2020-02-13,2020,2,13,3,1,0,0,0,296,5.6937321388027,92,0,0,226.43,1436.97,5133,false
2020-02-14,2020,2,14,4,1,0,0,0,373,5.924255797414531,296,50,0,272.57,1436.53,4156,false
2020-02-15,2020,2,15,5,1,1,0,0,464,6.142037405587356,373,62,0,330,1441.77,10438,false
2020-02-16,2020,2,16,6,1,1,0,0,751,6.62273632394984,464,90,0,424.43,1393.3,4268,false
2020-02-17,2020,2,17,0,1,0,0,0,789,6.672032945461067,751,0,0,537.14,1399.13,3141,false
2020-02-18,2020,2,18,1,1,0,0,0,182,5.2094861528414205,789,995,0,421,1246.47,5149,false
2020-02-19,2020,2,19,2,1,0,0,0,164,5.10594547390058,182,92,0,431.29,1242.87,2953,false
2020-02-20,2020,2,20,3,1,0,0,0,385,5.955837369464831,164,296,0,444,1207.57,1709,false
2020-02-21,2020,2,21,4,1,0,0,0,0,0,385,373,0,390.71,1120.27,2313,false
2020-02-22,2020,2,22,5,1,1,0,0,0,0,0,464,0,324.43,1084.6,1301,false
2020-02-23,2020,2,23,6,1,1,0,0,242,5.493061443340548,0,751,0,251.71,1077.77,4488,false
2020-02-24,2020,2,24,0,1,0,0,0,1054,6.961296045910166,242,789,0,289.57,1079.03,5743,false
2020-02-25,2020,2,25,1,1,0,0,0,0,0,1054,182,0,263.57,1049.7,2910,false
2020-02-26,2020,2,26,2,1,0,0,0,1650,7.4091364439201275,0,164,0,475.86,1081.27,6891,false
2020-02-27,2020,2,27,3,1,0,0,0,413,6.025865973825314,1650,385,0,479.86,378.47,20092,false
2020-02-28,2020,2,28,4,1,0,0,0,19328,9.869361837806752,413,0,0,3241,1005.5,37583,false
2020-02-29,2020,2,29,5,1,1,0,1,2470,7.81237820598861,19328,0,0,3593.86,1048.6,8773,false
2020-03-01,2020,3,1,6,1,1,1,0,920,6.825460036255307,2470,242,0,3690.71,1058.07,2622,false
2020-03-02,2020,3,2,0,1,0,0,0,687,6.5337888379333435,920,1054,0,3638.29,1080.97,4726,false
2020-03-03,2020,3,3,1,1,0,0,0,1566,7.356918242356021,687,0,0,3862,1120.57,5576,false
2020-03-04,2020,3,4,2,1,0,0,0,1197,7.088408778675395,1566,1650,0,3797.29,1155.07,4216,false
2020-03-05,2020,3,5,3,1,0,0,0,2572,7.852827812281744,1197,413,0,4105.71,1226.4,7637,false
2020-03-06,2020,3,6,4,1,0,0,0,1661,7.415776975415393,2572,19328,0,1581.86,1281.77,8128,false
2020-03-07,2020,3,7,5,1,1,0,0,2808,7.940583827104243,1661,2470,0,1630.14,1375.37,6745,false
2020-03-08,2020,3,8,6,1,1,0,0,519,6.253828811575473,2808,920,0,1572.86,1391,3284,false
2020-03-09,2020,3,9,0,1,0,0,0,767,6.643789733147672,519,687,0,1584.29,1414.5,3438,false
2020-03-10,2020,3,10,1,1,0,0,0,424,6.052089168924416,767,1566,0,1421.14,1425.63,3642,false
2020-03-11,2020,3,11,2,1,0,0,0,765,6.641182169740591,424,1197,0,1359.43,1451.13,6449,false
2020-03-12,2020,3,12,3,1,0,0,0,106,4.672828834461906,765,2572,0,1007.14,1421.5,2591,false
2020-03-13,2020,3,13,4,1,0,0,0,702,6.555356891810665,106,1661,0,870.14,1441.83,5484,false
2020-03-14,2020,3,14,5,1,1,0,0,3280,8.0959035329611,702,2808,0,937.57,1541.3,8669,false
2020-03-15,2020,3,15,6,1,1,0,0,2140,7.669028288589683,3280,519,0,1169.14,1600.2,8161,false
2020-03-16,2020,3,16,0,1,0,0,0,1928,7.564757012905729,2140,767,0,1335,1649,4982,false
2020-03-17,2020,3,17,1,1,0,0,0,1712,7.44600149832412,1928,424,0,1519,1681.03,5355,false
2020-03-18,2020,3,18,2,1,0,0,0,1804,7.498315870766981,1712,765,0,1667.43,1714.87,7164,false
2020-03-19,2020,3,19,3,1,0,0,0,0,0,1804,106,0,1652.29,1708.8,2008,false
2020-03-20,2020,3,20,4,1,0,0,0,232,5.4510384535657,0,702,0,1585.14,1711.07,2620,false
2020-03-21,2020,3,21,5,1,1,0,0,684,6.529418838262225,232,3280,0,1214.29,1721.03,1964,false
2020-03-22,2020,3,22,6,1,1,0,0,763,6.638567789166521,684,2140,0,1017.57,1746.47,2410,false
2020-03-23,2020,3,23,0,1,0,0,0,0,0,763,1928,0,742.14,1746.47,740,false
2020-03-24,2020,3,24,1,1,0,0,0,200,5.303304908059076,0,1712,0,526.14,1745.07,3259,false
2020-03-25,2020,3,25,2,1,0,0,0,100,4.61512051684126,200,1804,0,282.71,1713.27,3334,false
2020-03-26,2020,3,26,3,1,0,0,0,250,5.5254529391317835,100,0,0,318.43,1721.6,5893,false
2020-03-27,2020,3,27,4,1,0,0,0,0,0,250,232,0,285.29,1666.6,1066,false
2020-03-28,2020,3,28,5,1,1,0,0,40290,10.603883397931984,0,684,0,5943.29,2995.83,64758,false
2020-03-29,2020,3,29,6,1,1,0,0,720,6.580639137284948,40290,763,0,5937.14,2375.57,1527,false
2020-03-30,2020,3,30,0,1,0,0,0,200,5.303304908059076,720,0,0,5965.71,2299.9,1020,false
2020-03-31,2020,3,31,1,1,0,0,1,230,5.442417710521793,200,200,0,5970,2276.9,735,false
2020-04-01,2020,4,1,2,2,0,1,0,1004,6.912742820493176,230,100,0,6099.14,2287.47,1707,false
2020-04-02,2020,4,2,3,2,0,0,0,200,5.303304908059076,1004,250,0,6092,2241.93,926,false
2020-04-03,2020,4,3,4,2,0,0,0,200,5.303304908059076,200,0,0,6120.57,2208.7,467,false
2020-04-04,2020,4,4,5,2,1,0,0,200,5.303304908059076,200,40290,0,393.43,2129.63,440,false
2020-04-05,2020,4,5,6,2,1,0,0,180,5.198497031265825,200,720,0,316.29,2080.27,357,false
2020-04-06,2020,4,6,0,2,0,0,0,0,0,180,200,0,287.71,1986.67,2187,false
2020-04-07,2020,4,7,1,2,0,0,0,0,0,0,230,0,254.86,1969.37,1480,false
2020-04-08,2020,4,8,2,2,0,0,0,0,0,0,1004,0,111.43,1943.8,2852,false
2020-04-09,2020,4,9,3,2,0,0,0,192,5.262690188904886,0,200,0,110.29,1936.07,713,false
2020-04-10,2020,4,10,4,2,0,0,0,0,0,192,200,0,81.71,1910.57,95,false
2020-04-11,2020,4,11,5,2,1,0,0,0,0,0,200,0,53.14,1907.03,250,false
2020-04-12,2020,4,12,6,2,1,0,0,1320,7.186144304522325,0,180,0,216,1927.63,1638,false
2020-04-13,2020,4,13,0,2,0,0,0,50,3.9318256327243257,1320,0,0,223.14,1819.97,949,false
2020-04-14,2020,4,14,1,2,0,0,0,540,6.293419278846481,50,0,0,300.29,1766.63,4328,false
2020-04-15,2020,4,15,2,2,0,0,0,50,3.9318256327243257,540,0,0,307.43,1704.03,2912,false
2020-04-16,2020,4,16,3,2,0,0,0,3998,8.293799608846818,50,192,0,851.14,1780.23,15501,false
2020-04-17,2020,4,17,4,2,0,0,0,1652,7.410347097821024,3998,0,0,1087.14,1775.17,3689,false
2020-04-18,2020,4,18,5,2,1,0,0,0,0,1652,0,0,1087.14,1775.17,1939,false
2020-04-19,2020,4,19,6,2,1,0,0,1336,7.198183577101943,0,1320,0,1089.43,1811.97,3652,false
2020-04-20,2020,4,20,0,2,0,0,0,1490,7.307202314764738,1336,50,0,1295.14,1838.83,7312,false
2020-04-21,2020,4,21,1,2,0,0,0,245,5.5053315359323625,1490,540,0,1253,1821.57,1974,false
2020-04-22,2020,4,22,2,2,0,0,0,1585,7.368970402194793,245,50,0,1472.29,1874.4,20423,false
2020-04-23,2020,4,23,3,2,0,0,0,650,6.478509642208569,1585,3998,0,994,1889.4,1215,false
2020-04-24,2020,4,24,4,2,0,0,0,1918,7.5595594960077,650,1652,0,1032,1950,4050,false
2020-04-25,2020,4,25,5,2,1,0,0,485,6.186208623900494,1918,0,0,1101.29,1957.83,2929,false
2020-04-26,2020,4,26,6,2,1,0,0,0,0,485,1336,0,910.43,1957.83,0,false
2020-04-27,2020,4,27,0,2,0,0,0,1450,7.280008252884188,0,1490,0,904.71,663.17,4270,false
2020-04-28,2020,4,28,1,2,0,0,0,728,6.591673732008658,1450,245,0,973.71,663.43,2934,false
2020-04-29,2020,4,29,2,2,0,0,0,26698,10.192381390503432,728,1585,0,4561.29,1546.7,54104,false
2020-04-30,2020,4,30,3,2,0,0,1,0,0,26698,650,0,4468.43,1539.03,2099,false
2020-05-01,2020,5,1,4,2,0,1,0,0,0,0,1918,0,4194.43,1505.57,12385,false
2020-05-02,2020,5,2,5,2,1,0,0,864,6.762729506931879,0,485,0,4248.57,1527.7,6630,false
2020-05-03,2020,5,3,6,2,1,0,0,0,0,864,0,0,4248.57,1521.03,0,false
2020-05-04,2020,5,4,0,2,0,0,0,1548,7.3453648404168685,0,1450,0,4262.57,1565.97,7821,false
2020-05-05,2020,5,5,1,2,0,0,0,182,5.2094861528414205,1548,728,0,4184.57,1566.03,5116,false
2020-05-06,2020,5,6,2,2,0,0,0,30,3.4339872044851463,182,26698,0,374.86,1567.03,3664,false
2020-05-07,2020,5,7,3,2,0,0,0,414,6.028278520230698,30,0,0,434,1580.83,3344,false
2020-05-08,2020,5,8,4,2,0,0,0,0,0,414,0,0,434,1580.83,2979,false
2020-05-09,2020,5,9,5,2,1,0,0,646,6.4723462945009,0,864,0,402.86,1595.97,4904,false
2020-05-10,2020,5,10,6,2,1,0,0,0,0,646,0,0,402.86,1595.97,1136,false
2020-05-11,2020,5,11,0,2,0,0,0,1517,7.325148957955575,0,1548,0,398.43,1646.53,9064,false
2020-05-12,2020,5,12,1,2,0,0,0,1139,7.038783541388541,1517,182,0,535.14,1640.5,5788,false
2020-05-13,2020,5,13,2,2,0,0,0,1313,7.1808311990445555,1139,30,0,718.43,1682.6,5286,false
2020-05-14,2020,5,14,3,2,0,0,0,774,6.652863029353346,1313,414,0,769.86,1690.4,1958,false
2020-05-15,2020,5,15,4,2,0,0,0,0,0,774,0,0,769.86,1688.73,0,false
2020-05-16,2020,5,16,5,2,1,0,0,0,0,0,646,0,677.57,1555.47,0,false
2020-05-17,2020,5,17,6,2,1,0,0,165,5.111987788356543,0,0,0,701.14,1505.9,1328,false
2020-05-18,2020,5,18,0,2,0,0,0,1306,7.175489713624222,165,1517,0,671,1549.43,8106,false
2020-05-19,2020,5,19,1,2,0,0,0,1995,7.598900456871409,1306,1139,0,793.29,1571.4,12247,false
2020-05-20,2020,5,20,2,2,0,0,0,1334,7.196686570834349,1995,1313,0,796.29,1566.2,7115,false
2020-05-21,2020,5,21,3,2,0,0,0,2009,7.605890001053121,1334,774,0,972.71,1625,7403,false
2020-05-22,2020,5,22,4,2,0,0,0,1188,7.080867896690782,2009,0,0,1142.43,1611.77,9786,false
2020-05-23,2020,5,23,5,2,1,0,0,409,6.016157159698353,1188,0,0,1200.86,1603.73,6373,false
2020-05-24,2020,5,24,6,2,1,0,0,0,0,409,165,0,1177.29,1539.8,756,false
2020-05-25,2020,5,25,0,2,0,0,0,2661,7.8868329989550565,0,1306,0,1370.86,1612.33,11344,false
2020-05-26,2020,5,26,1,2,0,0,0,1928,7.564757012905729,2661,1995,0,1361.29,1676.6,10204,false
2020-05-27,2020,5,27,2,2,0,0,0,1910,7.555381944240273,1928,1334,0,1443.57,1691.93,8257,false
2020-05-28,2020,5,28,3,2,0,0,0,1100,7.00397413672268,1910,2009,0,1313.71,1704.33,5172,false
2020-05-29,2020,5,29,4,2,0,0,0,1717,7.4489161025442,1100,1188,0,1389.29,871.63,8801,false
2020-05-30,2020,5,30,5,2,1,0,0,573,6.352629396319566,1717,409,0,1412.71,890.73,10335,false
2020-05-31,2020,5,31,6,2,1,0,1,412,6.023447592961032,573,0,0,1471.57,904.47,2810,false
2020-06-01,2020,6,1,0,2,0,1,0,372,5.921578419643815,412,2661,0,1144.57,888.07,13705,false
2020-06-02,2020,6,2,1,2,0,0,0,675,6.516193076042963,372,1928,0,965.57,910.57,6016,false
2020-06-03,2020,6,3,2,2,0,0,0,502,6.220590170099739,675,1910,0,764.43,875.7,7629,false
2020-06-04,2020,6,4,3,2,0,0,0,215,5.375278407684164,502,1100,0,638,876.8,16192,false
2020-06-05,2020,6,5,4,2,0,0,0,320,5.771441123130016,215,1717,0,438.43,886.47,3837,false
2020-06-06,2020,6,6,5,2,1,0,0,324,5.783825182329737,320,573,0,402.86,883.47,5165,false
2020-06-07,2020,6,7,6,2,1,0,0,496,6.208590026096629,324,412,0,414.86,900,1180,false
2020-06-08,2020,6,8,0,2,0,0,0,34120,10.4376683094997,496,372,0,5236,2015.8,59260,false
2020-06-09,2020,6,9,1,2,0,0,0,1000,6.90875477931522,34120,675,0,5282.43,2049.13,5256,false
2020-06-10,2020,6,10,2,2,0,0,0,496,6.208590026096629,1000,502,0,5281.57,2015.1,9648,false
2020-06-11,2020,6,11,3,2,0,0,0,1244,7.126890808898808,496,215,0,5428.57,2018.6,2954,false
2020-06-12,2020,6,12,4,2,0,0,0,0,0,1244,320,0,5382.86,1974.83,2420,false
2020-06-13,2020,6,13,5,2,1,0,0,82,4.418840607796597,0,324,0,5348.29,1951.77,3546,false
2020-06-14,2020,6,14,6,2,1,0,0,1203,7.093404625868766,82,496,0,5449.29,1991.87,2194,false
2020-06-15,2020,6,15,0,2,0,0,0,1703,7.440733707389261,1203,34120,0,818.29,2048.63,8933,false
2020-06-16,2020,6,16,1,2,0,0,0,338,5.82600010738045,1703,1000,0,723.71,2054.4,18528,false
2020-06-17,2020,6,17,2,2,0,0,0,1696,7.436617265234226,338,496,0,895.14,2067.4,10046,false
2020-06-18,2020,6,18,3,2,0,0,0,1934,7.567862605463882,1696,1244,0,993.71,2065.37,6220,false
2020-06-19,2020,6,19,4,2,0,0,0,901,6.804614520062623,1934,0,0,1122.43,2050.93,6027,false
2020-06-20,2020,6,20,5,2,1,0,0,1708,7.443663683115591,901,82,0,1354.71,2040.9,8632,false
2020-06-21,2020,6,21,6,2,1,0,0,1934,7.567862605463882,1708,1203,0,1459.14,2065.77,5678,false
2020-06-22,2020,6,22,0,2,0,0,0,1198,7.089243155027514,1934,1703,0,1387,2092.07,8081,false
2020-06-23,2020,6,23,1,2,0,0,0,1099,7.003065458786462,1198,338,0,1495.71,2128.7,8498,false
2020-06-24,2020,6,24,2,2,0,0,0,193,5.267858159063328,1099,1696,0,1281,2046.43,5299,false
2020-06-25,2020,6,25,3,2,0,0,0,2344,7.76004068088038,193,1934,0,1339.57,2060.3,9033,false
2020-06-26,2020,6,26,4,2,0,0,0,38438,10.556827848177685,2344,901,0,6702,3277.9,46507,false
2020-06-27,2020,6,27,5,2,1,0,0,1317,7.183870715062453,38438,1708,0,6646.14,3285.13,10663,false
2020-06-28,2020,6,28,6,2,1,0,0,1460,7.2868764117507,1317,1934,0,6578.43,3276.57,4237,false
2020-06-29,2020,6,29,0,2,0,0,0,745,6.61472560020376,1460,1198,0,6513.71,3282.3,5126,false
2020-06-30,2020,6,30,1,2,0,0,1,1288,7.161622002939187,745,1099,0,6540.71,3311.5,7055,false
2020-07-01,2020,7,1,2,3,0,1,0,483,6.182084906716631,1288,193,0,6582.14,3315.2,7710,false
2020-07-02,2020,7,2,3,3,0,0,0,0,0,483,2344,0,6247.29,3292.7,3297,false
2020-07-03,2020,7,3,4,3,0,0,0,340,5.831882477283517,0,38438,0,804.71,3287.3,3631,false
2020-07-04,2020,7,4,5,3,1,0,0,9,2.3025850929940455,340,1317,0,617.86,3280.43,3955,false
2020-07-05,2020,7,5,6,3,1,0,0,1136,7.036148493750535,9,1460,0,571.57,3307.63,3285,false
2020-07-06,2020,7,6,0,3,0,0,0,543,6.298949246855942,1136,745,0,542.71,3314.93,8197,false
2020-07-07,2020,7,7,1,3,0,0,0,475,6.1654178542314195,543,1288,0,426.57,3314.23,3214,false
2020-07-08,2020,7,8,2,3,0,0,0,794,6.678342114654332,475,483,0,471,2203.37,7362,false
2020-07-09,2020,7,9,3,3,0,0,0,966,6.874198495453294,794,0,0,609,2202.23,5186,false
2020-07-10,2020,7,10,4,3,0,0,0,1390,7.237778191923443,966,340,0,759,2232.03,4126,false
2020-07-11,2020,7,11,5,3,1,0,0,728,6.591673732008658,1390,9,0,861.71,2214.83,5251,false
2020-07-12,2020,7,12,6,3,1,0,0,2140,7.669028288589683,728,1136,0,1005.14,2286.17,5449,false
2020-07-13,2020,7,13,0,3,0,0,0,3676,8.209852481301272,2140,543,0,1452.71,2405.97,7942,false
2020-07-14,2020,7,14,1,3,0,0,0,2534,7.837948916025283,3676,475,0,1746.86,2450.33,8546,false
2020-07-15,2020,7,15,2,3,0,0,0,1806,7.499423290592228,2534,794,0,1891.43,2453.77,8531,false
2020-07-16,2020,7,16,3,3,0,0,0,1863,7.530479995245536,1806,966,0,2019.57,2504.6,4507,false
2020-07-17,2020,7,17,4,3,0,0,0,1796,7.493873886783558,1863,1390,0,2077.57,2507.93,4619,false
2020-07-18,2020,7,18,5,3,1,0,0,2005,7.60389796852188,1796,728,0,2260,2510.3,5765,false
2020-07-19,2020,7,19,6,3,1,0,0,1954,7.5781454724194655,2005,2140,0,2233.43,2545.4,10739,false
2020-07-20,2020,7,20,0,3,0,0,0,2081,7.641084249174914,1954,3676,0,2005.57,2557.83,6229,false
2020-07-21,2020,7,21,1,3,0,0,0,2639,7.878534196140362,2081,2534,0,2020.57,2581.33,22832,false
2020-07-22,2020,7,22,2,3,0,0,0,697,6.548219102762372,2639,1806,0,1862.14,2564.63,4617,false
2020-07-23,2020,7,23,3,3,0,0,0,2175,7.685243607975833,697,1863,0,1906.71,2600.5,8683,false
2020-07-24,2020,7,24,4,3,0,0,0,1209,7.098375638590786,2175,1796,0,1822.86,2634.37,6677,false
2020-07-25,2020,7,25,5,3,1,0,0,2985,8.001689978099135,1209,2005,0,1962.86,2655.73,9507,false
2020-07-26,2020,7,26,6,3,1,0,0,20186,9.912794111856428,2985,1954,0,4567.43,2047.33,25784,false
2020-07-27,2020,7,27,0,3,0,0,0,1167,7.0630481633881725,20186,2081,0,4436.86,2042.33,9333,false
2020-07-28,2020,7,28,1,3,0,0,0,1899,7.549609165154531,1167,2639,0,4331.14,2056.97,7084,false
2020-07-29,2020,7,29,2,3,0,0,0,1548,7.3453648404168685,1899,697,0,4452.71,2083.73,4347,false
2020-07-30,2020,7,30,3,3,0,0,0,580,6.364750756851911,1548,2175,0,4224.86,2060.13,8329,false
2020-07-31,2020,7,31,4,3,0,0,1,1864,7.5310163320779155,580,1209,0,4318.43,2106.17,5324,false
2020-08-01,2020,8,1,5,3,1,1,0,995,6.903747257584598,1864,2985,0,4034.14,2139.33,3562,false
2020-08-02,2020,8,2,6,3,1,0,0,387,5.961005339623274,995,20186,0,1205.71,2140.9,1506,false
2020-08-03,2020,8,3,0,3,0,0,0,1150,7.048386408721883,387,1167,0,1203.29,2178.93,5008,false
2020-08-04,2020,8,4,1,3,0,0,0,1618,7.3895639536776345,1150,1899,0,1163.14,2195,3767,false
2020-08-05,2020,8,5,2,3,0,0,0,1412,7.253470382684527,1618,1548,0,1143.71,2223.97,3763,false
2020-08-06,2020,8,6,3,3,0,0,0,862,6.760414691083428,1412,580,0,1184,2236.87,4209,false
2020-08-07,2020,8,7,4,3,0,0,0,2476,7.814803429489359,862,1864,0,1271.43,2292.93,6418,false
2020-08-08,2020,8,8,5,3,1,0,0,1706,7.44249272279444,2476,995,0,1373,2317.6,3865,false
2020-08-09,2020,8,9,6,3,1,0,0,182,5.2094861528414205,1706,387,0,1343.71,2277.33,1340,false
2020-08-10,2020,8,10,0,3,0,0,0,863,6.761572768804055,182,1150,0,1302.71,2281.83,7570,false
2020-08-11,2020,8,11,1,3,0,0,0,3293,8.099857910737585,863,1618,0,1542,2320.27,7729,false
2020-08-12,2020,8,12,2,3,0,0,0,1882,7.5406215286571525,3293,1412,0,1609.14,2260.47,5019,false
2020-08-13,2020,8,13,3,3,0,0,0,2806,7.939871576361882,1882,862,0,1886.86,2269.53,6354,false
2020-08-14,2020,8,14,4,3,0,0,0,1624,7.393263094763838,2806,2476,0,1765.14,2263.47,5365,false
2020-08-15,2020,8,15,5,3,1,0,0,2265,7.725771441587951,1624,1706,0,1845,2276.87,6195,false
2020-08-16,2020,8,16,6,3,1,0,0,2041,7.621684998724611,2265,182,0,2110.57,2285.03,5037,false
2020-08-17,2020,8,17,0,3,0,0,0,1276,7.152268856032539,2041,863,0,2169.57,2260.73,6013,false
2020-08-18,2020,8,18,1,3,0,0,0,2394,7.781138509845015,1276,3293,0,2041.14,2275.4,9531,false
2020-08-19,2020,8,19,2,3,0,0,0,4113,8.322151070212902,2394,1882,0,2359.86,2343.13,8152,false
2020-08-20,2020,8,20,3,3,0,0,0,974,6.882437470997847,4113,2806,0,2098.14,2287.63,3992,false
2020-08-21,2020,8,21,4,3,0,0,0,1203,7.093404625868766,974,1624,0,2038,2304.5,4253,false
2020-08-22,2020,8,22,5,3,1,0,0,1102,7.005789019253502,1203,2265,0,1871.86,2268.73,6175,false
2020-08-23,2020,8,23,6,3,1,0,0,561,6.331501849893691,1102,2041,0,1660.43,2247.13,3932,false
2020-08-24,2020,8,24,0,3,0,0,0,1815,7.504391559161238,561,1276,0,1737.43,2208.13,5271,false
2020-08-25,2020,8,25,1,3,0,0,0,25998,10.165813354725493,1815,2394,0,5109.43,2401.87,34558,false
2020-08-26,2020,8,26,2,3,0,0,0,616,6.424869023905387,25998,4113,0,4609.86,2383.5,3159,false
2020-08-27,2020,8,27,3,3,0,0,0,1044,6.951772164398911,616,974,0,4619.86,2355,16029,false
2020-08-28,2020,8,28,4,3,0,0,0,2383,7.77653502818524,1044,1203,0,4788.43,2382.83,7100,false
2020-08-29,2020,8,29,5,3,1,0,0,676,6.517671272912275,2383,1102,0,4727.57,2386.03,7556,false
2020-08-30,2020,8,30,6,3,1,0,0,755,6.6280413761795325,676,561,0,4755.29,2349.07,1809,false
2020-08-31,2020,8,31,0,3,0,0,1,10,2.3978952727983707,755,1815,0,4497.43,2316.23,1649,false
2020-09-01,2020,9,1,1,3,0,1,0,0,0,10,25998,0,783.43,2303.33,1825,false
2020-09-02,2020,9,2,2,3,0,0,0,302,5.713732805509369,0,616,0,738.57,2275.07,4103,false
2020-09-03,2020,9,3,3,3,0,0,0,811,6.699500340161678,302,1044,0,705.29,2248.17,3787,false
2020-09-04,2020,9,4,4,3,0,0,0,551,6.313548046277095,811,2383,0,443.57,2219.47,2519,false
2020-09-05,2020,9,5,5,3,1,0,0,1045,6.952728644624868,551,676,0,496.29,2225.57,5230,false
2020-09-06,2020,9,6,6,3,1,0,0,1502,7.315218389752975,1045,755,0,603,2193.1,4159,false
2020-09-07,2020,9,7,0,3,0,0,0,3479,8.15478757276852,1502,10,0,1098.57,2252.2,11759,false
2020-09-08,2020,9,8,1,3,0,0,0,1124,7.025538314638521,3479,0,0,1259.14,2283.6,6263,false
2020-09-09,2020,9,9,2,3,0,0,0,1664,7.4175804024145435,1124,302,0,1453.71,2310.3,5533,false
